id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	13	13	0	13	0	0
2	0	159	159	253	48	46	94	0	0
3	0	258	258	275	13	4	17	0	0
4	0	350	350	473	20	103	123	0	0
5	0	479	479	508	15	14	29	0	0
7	0	1224	1224	1253	11	18	29	0	0
6	0	1123	1123	1316	72	121	193	0	0
8	0	1330	1330	1336	6	0	6	0	0
9	0	1387	1387	1519	60	72	132	0	0
10	0	1626	1626	1826	78	110	200	12	0
12	0	1781	1798	1883	37	41	102	24	17
11	0	1677	1677	1909	88	98	232	46	0
13	0	2326	2326	2359	18	15	33	0	0
14	0	2550	2550	2637	67	20	87	0	0
15	0	2790	2790	2810	20	0	20	0	0
16	0	2792	2810	2879	29	36	87	22	18
17	0	2862	2862	2905	20	23	43	0	0
18	0	3098	3098	3175	35	42	77	0	0
19	0	3528	3528	3703	67	77	175	31	0
22	0	3634	3661	3756	46	14	122	62	27
21	0	3621	3621	3786	55	82	165	28	0
23	0	3750	3756	3799	21	13	49	15	6
20	0	3548	3558	3849	52	164	301	85	10
24	0	3791	3799	3874	20	52	83	11	8
25	0	4083	4083	4207	59	65	124	0	0
27	0	4517	4526	4554	14	14	37	9	9
28	0	4567	4567	4602	25	9	35	1	0
26	0	4510	4510	4617	40	60	107	7	0
29	0	5011	5011	5088	58	19	77	0	0
30	0	5029	5070	5124	6	48	95	41	41
31	0	5558	5558	5596	29	9	38	0	0
32	0	5815	5815	5884	47	22	69	0	0
33	0	5860	5860	5892	14	15	32	3	0
34	0	6431	6431	6448	10	7	17	0	0
35	0	6524	6524	6555	7	24	31	0	0
36	0	6537	6537	6591	35	19	54	0	0
37	0	6578	6591	6605	3	11	27	13	13
38	0	7006	7006	7094	30	58	88	0	0
39	0	7124	7124	7173	38	11	49	0	0
40	0	7328	7328	7426	20	78	98	0	0
42	0	7601	7609	7654	22	23	53	8	8
41	0	7530	7530	7872	98	213	342	31	0
44	0	7837	7837	7879	35	3	42	4	0
43	0	7787	7787	7941	26	98	154	30	0
45	0	7944	7944	8076	60	70	132	2	0
47	0	8059	8059	8092	12	21	33	0	0
48	0	8091	8110	8149	38	1	58	19	19
46	0	8034	8039	8168	21	99	134	14	5
49	0	8094	8096	8196	35	52	102	15	2
50	0	8147	8149	8341	22	170	194	2	2
0	0	0	0	8341	6626	0	8341	1715	0
